token	left_score	right_score	pred_side	rule_hits
fachys	0.000000	0.000000	unknown	0
ykal	43.200000	3.600000	left	1
ar	0.000000	0.000000	unknown	0
ataiin	0.000000	0.000000	unknown	0
shol	0.000000	0.000000	unknown	0
shory	0.000000	0.000000	unknown	0
cthres	51.000000	3.000000	left	1
y	0.000000	0.000000	unknown	0
kor	2.000000	24.000000	right	1
sholdy	0.000000	0.000000	unknown	0
sory	0.000000	0.000000	unknown	0
ckhar	77.000000	0.000000	left	1
or	0.000000	5.000000	right	1
y	0.000000	0.000000	unknown	0
kair	2.000000	24.000000	right	1
chtaiin	51.000000	0.000000	left	1
shar	0.000000	0.000000	unknown	0
are	0.000000	0.000000	unknown	0
cthar	51.000000	3.000000	left	1
cthar	51.000000	3.000000	left	1
dan	2.000000	30.000000	right	1
syaiir	0.000000	0.000000	unknown	0
sheky	6.000000	0.000000	left	1
or	0.000000	5.000000	right	1
ykaiin	43.200000	3.600000	left	1
shod	0.000000	0.000000	unknown	0
cthoary	51.000000	3.000000	left	1
cthes	57.000000	3.000000	left	1
daraiin	2.000000	30.000000	right	1
sa	0.000000	0.000000	unknown	0
ooiin	0.000000	5.000000	right	1
oteey	3.000000	5.000000	right	1
oteos	0.000000	5.000000	right	1
roloty	0.000000	0.000000	unknown	0
cthar	51.000000	3.000000	left	1
daiin	2.000000	30.000000	right	1
otaiin	0.000000	5.000000	right	1
or	0.000000	5.000000	right	1
okan	0.750000	77.000000	right	1
dair	2.000000	30.000000	right	1
y	0.000000	0.000000	unknown	0
chear	60.400000	0.000000	left	1
cthaiin	51.000000	3.000000	left	1
cphar	51.000000	0.000000	left	1
cfhaiin	51.000000	0.000000	left	1
odar	0.000000	5.000000	right	1
o	0.000000	5.000000	right	1
y	0.000000	0.000000	unknown	0
shol	0.000000	0.000000	unknown	0
cphoy	51.000000	0.000000	left	1
oydar	0.000000	5.000000	right	1
sh	0.000000	17.000000	right	1
s	0.000000	0.000000	unknown	0
cfhoaiin	51.000000	0.000000	left	1
shodary	0.000000	0.000000	unknown	0
yshey	6.000000	0.000000	left	1
shody	0.000000	0.000000	unknown	0
okchoy	0.750000	77.000000	right	1
otchol	0.000000	14.000000	right	1
chocthy	51.000000	3.000000	left	1
oschy	0.000000	5.000000	right	1
dain	2.000000	30.000000	right	1
chor	51.000000	0.000000	left	1
kos	2.000000	24.000000	right	1
daiin	2.000000	30.000000	right	1
shos	0.000000	0.000000	unknown	0
cfhol	51.000000	0.000000	left	1
shody	0.000000	0.000000	unknown	0
ydain	0.000000	0.000000	unknown	0
cphesaiin	57.000000	0.000000	left	1
ol	0.000000	5.000000	right	1
s	0.000000	0.000000	unknown	0
cphey	57.000000	0.000000	left	1
ytain	0.000000	4.000000	right	1
shoshy	0.000000	0.000000	unknown	0
cphodales	51.000000	0.000000	left	1
oksho	0.750000	77.000000	right	1
kshoy	2.000000	24.000000	right	1
otairin	0.000000	5.000000	right	1
oteol	0.000000	5.000000	right	1
okan	0.750000	77.000000	right	1
shodain	0.000000	0.000000	unknown	0
sckhey	6.000000	0.000000	left	1
daiin	2.000000	30.000000	right	1
shoy	0.000000	0.000000	unknown	0
ckhey	83.000000	0.000000	left	1
kodaiin	2.000000	24.000000	right	1
cphy	51.000000	0.000000	left	1
cphodaiils	53.000000	0.000000	left	1
cthey	57.000000	3.000000	left	1
she	24.000000	0.000000	left	1
oldain	0.000000	5.000000	right	1
d	2.000000	30.000000	right	1
dain	2.000000	30.000000	right	1
oiin	0.000000	5.000000	right	1
chol	51.000000	0.000000	left	1
odaiin	0.000000	5.000000	right	1
chodain	51.000000	0.000000	left	1
chdy	51.000000	0.000000	left	1
okain	0.750000	77.000000	right	1
dan	2.000000	30.000000	right	1
cthy	51.000000	3.000000	left	1
kod	2.000000	24.000000	right	1
daiin	2.000000	30.000000	right	1
shckhey	6.000000	24.000000	right	1
ckeor	56.000000	0.000000	left	1
chor	51.000000	0.000000	left	1
shey	6.000000	0.000000	left	1
kol	2.000000	24.000000	right	1
chol	51.000000	0.000000	left	1
chol	51.000000	0.000000	left	1
kor	2.000000	24.000000	right	1
chal	51.000000	0.000000	left	1
sho	0.000000	0.000000	unknown	0
chol	51.000000	0.000000	left	1
shodan	0.000000	0.000000	unknown	0
kshy	2.000000	24.000000	right	1
kchy	28.000000	24.000000	left	1
dor	2.000000	30.000000	right	1
chodaiin	51.000000	0.000000	left	1
sho	0.000000	0.000000	unknown	0
kchom	28.000000	24.000000	left	1
ycho	30.000000	0.000000	left	1
tchey	9.400000	7.000000	left	1
chokain	51.750000	0.000000	left	1
sheo	6.000000	0.000000	left	1
pshol	0.000000	0.000000	unknown	0
dydyd	2.000000	30.000000	right	1
cthy	51.000000	3.000000	left	1
daicthy	2.000000	33.000000	right	1
yto	0.000000	4.000000	right	1
shol	0.000000	0.000000	unknown	0
