token	rules
ykal	yk
cthres	ct
cthar	ct
cthar	ct
sheky	he
ykaiin	yk
cthoary	ct
cthes	he,ct
oteey	ee
cthar	ct
okan	ok
chear	he,che
cthaiin	ct
yshey	he
okchoy	ok
otchol	tc,tch,otc
chocthy	ct
cphesaiin	he
cphey	he
ytain	yt
oksho	ok
okan	ok
sckhey	he
ckhey	he
cphodaiils	ls
cthey	he,ct
she	he
okain	ok
cthy	ct
shckhey	he,hc,shc
ckeor	ke
shey	he
ycho	ych,yc
tchey	he,che,tc,tch
chokain	ok
sheo	he
cthy	ct
daicthy	ct
yto	yt
she	he
kodshey	he
cphealy	he
dchar	dch,dc
shcthaiin	hct,hc,ct,shc
okaiir	ok
chey	he,che
cthols	ct,ls
dlocta	ct
shok	ok
chey	he,che
ckhey	he
shokcheey	he,che,ee,ok
tshodeesy	ee
shey	he
pydeey	ee
cthal	ct
shear	he
shey	he
cthar	ct
okol	ok
cthol	ct
ctholdar	ct
ycheey	he,che,ee,ych,yc
okay	ok
oky	ok
okchey	he,che,ok
kokaiin	ok
deeo	ee
koshey	he
cthy	ct
okchey	he,che,ok
keey	ee,ke
keey	ee,ke
chok	ok
oltchey	he,che,tc,tch
dcho	dch,dc
okodar	ok
dksheey	he,ee
cthy	ct
kotchody	tc,tch,otc
chey	he,che
dolchey	he,che,olc,lc
cthy	ct
ykol	yk
ykol	yk
lchody	lc
cthol	ct
dchor	dch,dc
otcho	tc,tch,otc
ypchaiin	pc
ckholsy	ls
cthy	ct
cth	ct
chokaiin	ok
ytchaiin	tc,tch,ytc,yt
dchol	dch,dc
dchy	dch,dc
cthy	ct
yksh	yk
olsheey	he,ee,lsh,ls
yky	yk
cthey	he,ct
keol	ke
olsaiin	ls
sheey	he,ee
chety	he,che
chyky	yk
chcthy	hct,hc,ct,chc
shey	he
otchor	tc,tch,otc
chees	he,che,ee
cheaiin	he,che
tsheos	he
qopal	op,qop
cthol	ct
ycheor	he,che,ych,yc
qotcham	tc,tch,otc
qocheor	he,che
cthy	ct
schey	he,che
qokol	qok,ok
cthol	ct
ychtaiin	ych,yc
cthom	ct
otchol	tc,tch,otc
ysheor	he
oky	ok
sheoldam	he
otchody	tc,tch,otc
pcheol	he,che,pc
sols	ls
sheol	he
shey	he
okadaiin	ok
qokchor	qok,ok
octhy	ct
qokeey	oke,qok,ee,ke,ok
shey	he
qokody	qok,ok
qokchey	he,che,qok,ok
cheody	he,che
oporar	op
soleeg	ee
cthy	ct
ykoaiin	yk
qoteeol	ee
okchor	ok
okor	ok
olytol	yt
okom	ok
seees	ee
cheeykam	he,che,ee,yk
okai	ok
ees	ee
eey	ee
kcheol	he,che
okal	ok
chear	he,che
een	ee
yeeear	ee
otchal	tc,tch,otc
eeor	ee
eear	ee
tchor	tc,tch
otcham	tc,tch,otc
ykchy	ykc,yk
chekeol	he,che,ke
oka	ok
ytcheear	he,che,tc,tch,ee,ytc,yt
okeol	oke,ke,ok
cthodoaly	ct
cthy	ct
qokshol	qok,ok
okary	ok
tchor	tc,tch
ytchy	tc,tch,ytc,yt
tchor	tc,tch
qokchy	qok,ok
yty	yt
cthal	ct
ytoy	yt
qotchy	tc,tch,otc
shytchy	tc,tch,ytc,yt
tcheay	he,che,tc,tch
cthol	ct
cthom	ct
cthy	ct
tchy	tc,tch
qotchoiin	tc,tch,otc
sheyr	he
sheeor	he,ee
shokchy	ok
cthol	ct
cthory	ct
qooko	ok
iiincheom	he,che
chcthy	hct,hc,ct,chc
shoky	ok
sheo	he
okeody	oke,ke,ok
chokeody	oke,ke,ok
kcheor	he,che
qokoy	qok,ok
okeol	oke,ke,ok
keey	ee,ke
cheor	he,che
chokody	ok
olsy	ls
ochey	he,che
okey	oke,ke,ok
qokaiin	qok,ok
cthey	he,ct
chey	he,che
okaor	ok
oteeen	ee
cthy	ct
otchy	tc,tch,otc
qotcho	tc,tch,otc
cholols	ls
qotcheo	he,che,tc,tch,otc
cheor	he,che
chey	he,che
qoeeey	ee,qoe,oe
qoykeeey	ee,ke,yk
qoeor	qoe,oe
cthy	ct
kocheor	he,che
ytchey	he,che,tc,tch,ytc,yt
chols	ls
ytoiiin	yt
dchol	dch,dc
cthor	ct
ychopordg	op,ych,yc
qotcho	tc,tch,otc
ytor	yt
otchor	tc,tch,otc
shees	he,ee
ykoiin	yk
cthor	ct
okchy	ok
shokeeol	oke,ee,ke,ok
cheotol	he,che
otchol	tc,tch,otc
chopchol	opc,op,pc
otcham	tc,tch,otc
cthor	ct
chotols	ls
ykeor	ke,yk
ytaiin	yt
okaiin	ok
ychol	ych,yc
pchar	pc
sheo	he
sheeol	he,ee
tchor	tc,tch
ctheod	he,ct
odshe	he
ychar	ych,yc
olchad	olc,lc
chokaiin	ok
cthom	ct
cthy	ct
qocthol	ct
cthy	ct
oheekar	he,ee
chapchy	pc
chear	he,che
otchy	tc,tch,otc
oees	ee,oe
chckhy	hc,chc
qoekchar	qoe,oe
cheas	he,che
kchey	he,che
