tok_id	token	left_score	right_score	pred_side	rule_hits
1	fachys	0.0	0.0	unknown	0
2	ykal	43.2	3.6	left	1
3	ar	0.0	0.0	unknown	0
4	ataiin	0.0	0.0	unknown	0
5	shol	0.0	0.0	unknown	0
6	shory	0.0	0.0	unknown	0
7	cthres	51.0	3.0	left	1
8	y	0.0	0.0	unknown	0
9	kor	2.0	24.0	right	1
10	sholdy	0.0	0.0	unknown	0
11	sory	0.0	0.0	unknown	0
12	ckhar	77.0	0.0	left	1
13	or	0.0	5.0	right	1
14	y	0.0	0.0	unknown	0
15	kair	2.0	24.0	right	1
16	chtaiin	51.0	0.0	left	1
17	shar	0.0	0.0	unknown	0
18	are	0.0	0.0	unknown	0
19	cthar	51.0	3.0	left	1
20	cthar	51.0	3.0	left	1
21	dan	2.0	30.0	right	1
22	syaiir	0.0	0.0	unknown	0
23	sheky	6.0	0.0	left	1
24	or	0.0	5.0	right	1
25	ykaiin	43.2	3.6	left	1
26	shod	0.0	0.0	unknown	0
27	cthoary	51.0	3.0	left	1
28	cthes	57.0	3.0	left	1
29	daraiin	2.0	30.0	right	1
30	sa	0.0	0.0	unknown	0
31	ooiin	0.0	5.0	right	1
32	oteey	3.0	5.0	right	1
33	oteos	0.0	5.0	right	1
34	roloty	0.0	0.0	unknown	0
35	cthar	51.0	3.0	left	1
36	daiin	2.0	30.0	right	1
37	otaiin	0.0	5.0	right	1
38	or	0.0	5.0	right	1
39	okan	0.75	77.0	right	1
40	dair	2.0	30.0	right	1
41	y	0.0	0.0	unknown	0
42	chear	60.4	0.0	left	1
43	cthaiin	51.0	3.0	left	1
44	cphar	51.0	0.0	left	1
45	cfhaiin	51.0	0.0	left	1
46	odar	0.0	5.0	right	1
47	o	0.0	5.0	right	1
48	y	0.0	0.0	unknown	0
49	shol	0.0	0.0	unknown	0
50	cphoy	51.0	0.0	left	1
51	oydar	0.0	5.0	right	1
52	sh	0.0	17.0	right	1
53	s	0.0	0.0	unknown	0
54	cfhoaiin	51.0	0.0	left	1
55	shodary	0.0	0.0	unknown	0
56	yshey	6.0	0.0	left	1
57	shody	0.0	0.0	unknown	0
58	okchoy	0.75	77.0	right	1
59	otchol	0.0	14.0	right	1
60	chocthy	51.0	3.0	left	1
61	oschy	0.0	5.0	right	1
62	dain	2.0	30.0	right	1
63	chor	51.0	0.0	left	1
64	kos	2.0	24.0	right	1
65	daiin	2.0	30.0	right	1
66	shos	0.0	0.0	unknown	0
67	cfhol	51.0	0.0	left	1
68	shody	0.0	0.0	unknown	0
69	ydain	0.0	0.0	unknown	0
70	cphesaiin	57.0	0.0	left	1
71	ol	0.0	5.0	right	1
72	s	0.0	0.0	unknown	0
73	cphey	57.0	0.0	left	1
74	ytain	0.0	4.0	right	1
75	shoshy	0.0	0.0	unknown	0
76	cphodales	51.0	0.0	left	1
77	oksho	0.75	77.0	right	1
78	kshoy	2.0	24.0	right	1
79	otairin	0.0	5.0	right	1
80	oteol	0.0	5.0	right	1
81	okan	0.75	77.0	right	1
82	shodain	0.0	0.0	unknown	0
83	sckhey	6.0	0.0	left	1
84	daiin	2.0	30.0	right	1
85	shoy	0.0	0.0	unknown	0
86	ckhey	83.0	0.0	left	1
87	kodaiin	2.0	24.0	right	1
88	cphy	51.0	0.0	left	1
89	cphodaiils	53.0	0.0	left	1
90	cthey	57.0	3.0	left	1
91	she	24.0	0.0	left	1
92	oldain	0.0	5.0	right	1
93	d	2.0	30.0	right	1
94	dain	2.0	30.0	right	1
95	oiin	0.0	5.0	right	1
96	chol	51.0	0.0	left	1
97	odaiin	0.0	5.0	right	1
98	chodain	51.0	0.0	left	1
99	chdy	51.0	0.0	left	1
100	okain	0.75	77.0	right	1
101	dan	2.0	30.0	right	1
102	cthy	51.0	3.0	left	1
103	kod	2.0	24.0	right	1
104	daiin	2.0	30.0	right	1
105	shckhey	6.0	24.0	right	1
106	ckeor	56.0	0.0	left	1
107	chor	51.0	0.0	left	1
108	shey	6.0	0.0	left	1
109	kol	2.0	24.0	right	1
110	chol	51.0	0.0	left	1
111	chol	51.0	0.0	left	1
112	kor	2.0	24.0	right	1
113	chal	51.0	0.0	left	1
114	sho	0.0	0.0	unknown	0
115	chol	51.0	0.0	left	1
116	shodan	0.0	0.0	unknown	0
117	kshy	2.0	24.0	right	1
