folio	line	pos	token
f1	1	1	chekichyololdycheolalshedchedy
f1	1	2	olcheyaiinaincheolshedqookiinain
f1	1	3	aindydyqqoiinchedshechto
f1	1	4	cheolalshedqorshetoramolsh
f1	1	5	qateokrshamtidyeok
f1	1	6	qaarcheydirhdeqokinorte
f1	1	7	etcherhshininchchedyty
f1	1	8	tqokrhlhalinchdqokiin
f1	1	9	ininchedychedyardorqopkydeqok
f1	1	10	qokaraindorkychedykoqoklkko
f1	1	11	archedydorqopshedykoqokkechain
f1	1	12	chedyrkqopkylkqokkedordarsh
f1	1	13	kyshedychedykokedarqokcheiinsh
f1	1	14	shedylkkoqokdorqokcheorqokain
f1	1	15	qokkechdarcheqoktotorchiin
f1	1	16	kedordarqokortotortorqokydy
f1	1	17	qokcheiinqoktorqokyqaolqar
f1	1	18	totorchqokyolqokrrklhy
f1	1	19	qokyqateqrlhtaryqoar
f1	1	20	qaolqqokrktaryrchedo
f1	1	21	qokroklhycheshedlholsh
f1	1	22	rrklhtarrshedlhtarcheych
f1	1	23	yrcheshedtaraiinqokainshedy
f1	1	24	qoiinlhtaralokdyaiinariin
f1	1	25	tarshaiinqdyarshdychedydar
f1	1	26	qokainrkshchedychedqoqokal
f1	1	27	arshainchedyqochylctoarlk
f1	1	28	olaiintoralainkochedytorqaqo
f1	1	29	rkkocheolalterlshtorot
f1	1	30	qateokrshamtidyeok
f1	2	1	cheydiropdeshedyorchedyttor
f1	2	2	qokinchedychedytainltarlciin
f1	2	3	inchorariinqopoklcdeol
f1	2	4	ddychedyrkdorshedychedekolk
f1	2	5	cheollharqokkychychedykokedar
f1	2	6	lkqokqopchykodorlkchqokiin
f1	2	7	chychekocheoldarorsheiintoch
f1	2	8	cheoledarainqoktorotchqaq
f1	2	9	tortorotolterarchlhchedy
f1	2	10	olcheolterkokyychedycheki
f1	2	11	taryysheddocheykyshtal
f1	2	12	yrchedylhkiaiinshchotshedy
f1	2	13	qoiincheshcheyoktotrkiin
f1	2	14	tarsholokotarshedyyaindar
f1	2	15	alkoaiinaiinrkdyiinainchedqok
f1	2	16	kodorqiinarqainchedyqochy
f1	2	17	aiiniinrkqchedychydyqoklcar
f1	2	18	dyqainchyqoktoindycheolki
f1	2	19	qochedytorlcrktorcheolalter
f1	2	20	chedytorcheoltookshchedsheamd
f1	2	21	cheolchedyqotecheyrhropdeshedy
f1	2	22	cherhrqokchedychedyqoptetytar
f1	2	23	lhshqotinorqokttyainlc
f1	2	24	inchorariinqopoklcdeol
f1	2	25	qokartyqoplcchedyiinqokdiko
f1	2	26	dechedyiinlkchedyshdoramyee
f1	2	27	dilkaiinshamshshqalqop
f1	2	28	chdarkoiinyoteealiinr
f1	2	29	ainoteedyeearlkchedytyte
f1	2	30	kyarlkshqashelcaiinshrk
f1	3	1	archchedyytearaiinshkyy
f1	3	2	ychedytedoshshrkyqotq
f1	3	3	ardoshshydochyainiindy
f1	3	4	chedydiartarcheolarsheainrhdy
f1	3	5	diqoykeotcheainkototar
f1	3	6	archeaincheoldyqarchdycheol
f1	3	7	tocheoltorqcheeddylhlk
f1	3	8	chyoltaraindyqcheollhchedychedy
f1	3	9	olcheylkdyeeshedlhtdyain
f1	3	10	olrkaiinalqokchedydychedch
f1	3	11	alqaqriintorchedycholchy
f1	3	12	qateshedlchedamchotdok
f1	3	13	toopokqoktordyoldylk
f1	3	14	arerrhopqokqokychedyort
f1	3	15	etcheylhqotinchedyshedychedyty
f1	3	16	tqokdishdeinshedyorchedyiin
f1	3	17	ininshedyqoktydortarokcheqok
f1	3	18	inchorariinqopoklcdeol
f1	3	19	chdchedychedyainkylcchechedydi
f1	3	20	dycheolqoklkqoplkdechedyqokch
f1	3	21	shedylkdekelkqokainshiinain
f1	3	22	darqokainqokshchalcheydyky
f1	3	23	cheorshetorotqaiindyqch
f1	3	24	qokyqaiinqokarlhtyshchedyar
f1	3	25	qokrartarycheshearkish
f1	3	26	rrkchychedyshedardoolch
f1	3	27	rkdyokrqolhdokicheyt
f1	3	28	yrchedylhkiaiinshchotshedy
f1	3	29	lhtarkiqtrkalshedyiinche
f1	3	30	aiinqchrkshedyainqatdarchy
f1	4	1	dychedykelkiintorcheolchycheyain
f1	4	2	chedyorololchealchyololdy
f1	4	3	toralchyrkainaldyqqoiin
f1	4	4	alololkodyqaqshedokched
f1	4	5	kochedydyteqoliinchedtorol
f1	4	6	tordoaloprqokshetortie
f1	4	7	toopokqoktordyoldylk
f1	4	8	tidyolchetiqoktorolchar
f1	4	9	ycheokqokolshchyortr
f1	4	10	chshchyolrchchedaldech
f1	4	11	tolotchalrkolchshok
f1	4	12	kechchedrkchrkiinshedyko
f1	4	13	derkolrkshedlhshaldoraiin
f1	4	14	ylhshdydyainarshqqo
f1	4	15	iinainarshcheddqokchytocheol
f1	4	16	darcheolqoklcamchedyqoktcheop
f1	4	17	lcaiinamdardioroparchedy
f1	4	18	rcqotshedyaralchedycheolchedyrt
f1	4	19	tqoqopiinkeotoprainki
f1	4	20	kecheolotrshedyalarchin
f1	4	21	shekorhkitorinddycheolqok
f1	4	22	tortarlkarchlhrklkqokqop
f1	4	23	arindyddyqokshedylkchychedy
f1	4	24	ineedycheollhainchychetoqok
f1	4	25	eeqshedtchedychtotshdor
f1	4	26	chedychcheshdorcheolaintotorchedy
f1	4	27	otoltoketoqokytorchedyot
f1	4	28	dartorchedychytorqokarrdyol
f1	4	29	rcchyqokotolcheoldytarriin
f1	4	30	chyorchedyrcheolarlyqoshed
f1	5	1	orarcheolraraiinolriinok
f1	5	2	artotkeaiinchedchqoshedy
f1	5	3	tolrchchedalchiinoklh
f1	5	4	kechalrkolchokshkody
f1	5	5	doramqopqylkeottardar
f1	5	6	qeerkqopcheolecheqokshedlc
f1	5	7	alcheychyrqalhcheolshedlcsh
f1	5	8	eerlhychedarlctychedyrk
f1	5	9	chedyydarteshedshechedyaraiinchy
f1	5	10	aiinshtirkarchearchaiinqok
f1	5	11	rcqotqoparshalopartki
f1	5	12	arykcheolchedyopqokrhshar
f1	5	13	iindychedyamrshetorsharin
f1	5	14	korhkitarshaldqokchedylk
f1	5	15	rhtotorlkalardyarrkqok
f1	5	16	lkqcheeddylkkylkche
f1	5	17	lhtrkchedykyshedykechqokor
f1	5	18	chedydyqokchedylkchycheolqokorchedy
f1	5	19	iinchedainotchetotoorchedyrc
f1	5	20	otoltoketoqokytorchedyot
f1	5	21	dartorchedychytorqokarrdyol
f1	5	22	chyorchedyrcheolarlyqoshed
f1	5	23	otraralrkdyqoshedtaral
f1	5	24	chedaldychyrtarcheyqdy
f1	5	25	aiinchedlolchchqoshedaldor
f1	5	26	olchiinshedokyshkoaiinain
f1	5	27	qoptlkrkchedychycheolqachecheol
f1	5	28	rkchedyeqalhlktardarsheaiin
f1	5	29	tarcheainshedshelcamtichedi
f1	5	30	shedshetytichedydaraiinardi
f1	6	1	lcaiinchedydrkyaiinchydidy
f1	6	2	aiinshdrkychediainlrk
f1	6	3	rcqotlcaryiinkecheolainrh
f1	6	4	arychedycheolotamshekodylk
f1	6	5	yiincheolotamarainrhtarq
f1	6	6	iindyotamarchekotolkaiin
f1	6	7	dytaramarcheiinrhcheolqain
f1	6	8	archetocheolchyollkaiindyshed
f1	6	9	cheiincheolchyolcheyqainqqo
f1	6	10	iinchechyolcheyolaiindyshedok
f1	6	11	olcheyaindycheolalqqochedtor
f1	6	12	aindyqshedqookdychedotd
f1	6	13	dyiinchedychotoltchydarol
f1	6	14	chedychtshchyoktodarrcor
f1	6	15	chotshchyoktittorchyar
f1	6	16	oldoktilkdytoraiinarol
f1	6	17	oktitorolaiinchchyarrch
f1	6	18	chyorotrrkechedcheychrk
f1	6	19	oldyotchedaiinchedyaiindorshee
f1	6	20	iinqokaiinchedykoaindorqeechey
f1	6	21	qokolchedykoainshamyaliin
f1	6	22	dilkainshsheiinyainiinte
f1	6	23	yshalcheyiindyeekytyy
f1	6	24	ainotiindyteqkychyqo
f1	6	25	kyartyshychedyiinarkych
f1	6	26	chokychedyqochearkichot
f1	6	27	lhtarqocheshedlhkicheyotrk
f1	6	28	qochekiolcheyaiinchotyain
f1	6	29	shedlhcheyaiinqokotrkainched
f1	6	30	tarshqokdyaiinrkshchedchy
f1	7	1	rkarainchedychedqodychyarqok
f1	7	2	qyshaleekochedydoqate
f1	7	3	cheolchedyqopqokalqoshechedyqokqa
f1	7	4	shedyqopkqoopqaartdiche
f1	7	5	shalopqoktdichelhqotde
f1	7	6	arelhopinshedyorchedytty
f1	7	7	rhlhinshedyqoktyiindoroklc
f1	7	8	ininartyqoplcchechedyqokol
f1	7	9	qokarkylckooldichkoain
f1	7	10	chedyrklkdekelkchqokshshe
f1	7	11	shedylkdorlkchesheiintoainot
f1	7	12	kedororshetorotchqadyte
f1	7	13	cheolechedyqokqokqokyqacheolqqok
f1	7	14	orainqokchcheolqqokrkoklh
f1	7	15	tortorcheolterkoklhychedyqo
f1	7	16	qokchedyaiinqokltaryqocheshed
f1	7	17	rkdyqoqotarolcheyqtot
f1	7	18	dyolchqoshedtarshcheyotar
f1	7	19	lchchiinlhshalaiinainsh
